time, count, voltage, angle
1.450000, 156, 762.4634, -22.000000
1.687000, 156, 762.4634, -22.000000
1.925000, 156, 762.4634, -22.000000
2.162000, 156, 762.4634, -22.000000
2.400000, 157, 767.3510, -22.000000
2.637000, 156, 762.4634, -22.000000
2.875000, 155, 757.5758, -22.000000
3.112000, 155, 757.5758, -22.000000
3.350000, 156, 762.4634, -22.000000
3.587000, 156, 762.4634, -22.000000
3.825000, 156, 762.4634, -22.000000
4.062000, 156, 762.4634, -22.000000
4.299000, 157, 767.3510, -22.000000
4.537000, 164, 801.5640, -20.000000
4.774000, 191, 933.5289, -13.000000
5.012000, 236, 1153.4702, -2.000000
5.249000, 281, 1373.4116, 9.000000
5.486000, 303, 1480.9384, 15.000000
5.723000, 307, 1500.4888, 16.000000
5.961000, 325, 1588.4653, 20.000000
6.198000, 349, 1705.7673, 26.000000
6.436000, 369, 1803.5192, 31.000000
6.673000, 380, 1857.2825, 34.000000
6.910000, 396, 1935.4838, 38.000000
7.148000, 401, 1959.9219, 39.000000
7.385000, 411, 2008.7977, 41.000000
7.623000, 431, 2106.5493, 46.000000
7.860000, 442, 2160.3127, 49.000000
8.098000, 463, 2262.9521, 54.000000
8.335000, 488, 2385.1416, 60.000000
8.573000, 511, 2497.5562, 66.000000
8.810000, 528, 2580.6450, 70.000000
9.048000, 545, 2663.7344, 75.000000
9.285000, 555, 2712.6101, 77.000000
9.523000, 570, 2785.9238, 81.000000
9.760000, 576, 2815.2493, 82.000000
9.997000, 589, 2878.7878, 86.000000
10.235000, 597, 2917.8884, 88.000000
10.473000, 612, 2991.2024, 91.000000
10.712000, 611, 2986.3149, 91.000000
10.950000, 605, 2956.9890, 90.000000
11.189000, 600, 2932.5513, 88.000000
11.427000, 601, 2937.4387, 89.000000
11.666000, 594, 2903.2258, 87.000000
11.904000, 579, 2829.9121, 83.000000
12.143000, 551, 2693.0598, 76.000000
12.381000, 531, 2595.3079, 71.000000
12.620000, 521, 2546.4321, 69.000000
12.858000, 505, 2468.2307, 65.000000
13.097000, 472, 2306.9404, 57.000000
13.335000, 455, 2223.8513, 52.000000
13.574000, 444, 2170.0879, 50.000000
13.812000, 424, 2072.3362, 45.000000
14.051000, 403, 1969.6970, 39.000000
14.289000, 390, 1906.1583, 36.000000
14.528000, 372, 1818.1819, 32.000000
14.767000, 331, 1617.7908, 22.000000
15.005000, 307, 1500.4888, 16.000000
15.243000, 277, 1353.8612, 8.000000
15.481000, 232, 1133.9199, -3.000000
15.719000, 219, 1070.3812, -6.000000
15.958000, 198, 967.7419, -11.000000
16.195999, 156, 762.4634, -22.000000
16.434999, 181, 884.6530, -16.000000
